artists,cluster,perfil_cluster,alto_potencial,apariciones_chile,canciones_unicas_chile,rank_promedio_chile,popularidad_promedio,movimiento_diario_promedio,movimiento_semanal_promedio,permanencia_dias,puntaje_posicion_chile,probabilidad_alta_senal_spotify,clase_predicha,senal_predicha
J Alvarez,0,Presencia sostenida en rankings chilenos,1,67,1,28.507462686567163,66.32835820895522,0.014925373134328358,0.2835820895522388,67,39,0.986708,1,Alta señal digital local
Bad Gyal,3,Baja presencia o menor posicionamiento local,0,67,1,40.149253731343286,89.25373134328358,0.029850746268656716,-0.13432835820895522,67,21,0.011632,0,Menor señal digital local
LACUEVA,3,Baja presencia o menor posicionamiento local,0,66,2,35.24242424242424,61.86363636363637,-0.015151515151515152,1.1818181818181819,54,33,0.136727,0,Menor señal digital local
En La Nota Records,0,Presencia sostenida en rankings chilenos,1,65,1,28.276923076923076,64.76923076923077,0.07692307692307693,0.6923076923076923,65,41,0.989063,1,Alta señal digital local
TORRRES,0,Presencia sostenida en rankings chilenos,1,64,1,34.15625,84.640625,0.484375,3.15625,64,32,0.610288,1,Alta señal digital local
De La Ghetto,3,Baja presencia o menor posicionamiento local,0,60,5,38.68333333333333,60.68333333333333,1.0333333333333334,2.75,60,40,0.452551,0,Menor señal digital local
Yexel,3,Baja presencia o menor posicionamiento local,0,59,1,41.76271186440678,78.89830508474576,0.2542372881355932,2.0,59,23,0.003931,0,Menor señal digital local
Renn,3,Baja presencia o menor posicionamiento local,0,59,1,41.76271186440678,78.89830508474576,0.2542372881355932,2.0,59,23,0.003931,0,Menor señal digital local
Tony Dize,3,Baja presencia o menor posicionamiento local,0,58,2,42.98275862068966,76.10344827586206,0.46551724137931033,2.4310344827586206,58,17,0.000811,0,Menor señal digital local
Engel Montaz,0,Presencia sostenida en rankings chilenos,1,57,4,26.68421052631579,71.14035087719299,1.3157894736842106,8.56140350877193,57,44,0.967242,1,Alta señal digital local
CamiMusic,3,Baja presencia o menor posicionamiento local,0,55,1,38.58181818181818,73.45454545454545,0.14545454545454545,-1.490909090909091,55,20,0.003882,0,Menor señal digital local
iñigo quintero,0,Presencia sostenida en rankings chilenos,1,55,1,25.054545454545455,98.21818181818182,0.01818181818181818,0.0,55,39,0.997226,1,Alta señal digital local
